Start_Date,End_Date,IP_Address,Duration_seconds,ID,consent,certification_status,cert_status_other_text,education,education_diploma_type,education_other_text,age,sex,race_ethnic,race_ethnic_other_text,region,income,cost_0,cost_25,cost_50,cost_100,cost_200,cost_300,cost_400,cost_500,cost_600,cost_700,cost_800,cost_900,cost_1000,cost_1100,cost_1200,cost_1300,cost_1400,cost_1500,cost_1600,cost_1700,cost_1800,cost_1900,cost_2000,cost_2100,cost_2200,cost_2300,cost_2400,cost_2500,cost_2600,cost_2700,cost_2800,cost_2900,cost_3000,max_money,accrue_0_hours,accrue_25_hours,accrue_50_hours,accrue_100_hours,accrue_200_hours,accrue_300_hours,accrue_400_hours,accrue_500_hours,accrue_600_hours,accrue_700_hours,accrue_800_hours,accrue_900_hours,accrue_1000_hours,accrue_1100_hours,accrue_1200_hours,accrue_1300_hours,accrue_1400_hours,accrue_1500_hours,accrue_1600_hours,accrue_1700_hours,accrue_1800_hours,accrue_1900_hours,accrue_2000_hours,accrue_2100_hours,accrue_2200_hours,accrue_2300_hours,accrue_2400_hours,accrue_2500_hours,accrue_2600_hours,accrue_2700_hours,accrue_2800_hours,accrue_2900_hours,accrue_3000_hours,max_hours
10/16/19 14:49,10/16/19 14:50,192.0.246.236,106,R_CZvTNNLh6sfLYmB,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,Central East,"$70,000 - $79,999",100,100,100,100,100,100,100,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:01,10/16/19 15:07,192.0.213.195,382,R_1QENp8vAFKmfgQV,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,Central West,"$40,000 - $59,999",100,100,100,100,100,100,100,100,90,90,90,90,80,80,75,75,75,50,50,50,40,40,40,25,25,25,25,25,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:09,10/16/19 15:14,107.179.196.72,326,R_UbxjdK95uB4BXNv,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"e)	40-49",Female,White,n/a,North,"$120,000 - $150,000",100,100,100,100,100,100,100,100,95,95,95,95,95,90,90,75,75,70,50,50,50,50,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:20,10/16/19 15:25,216.154.59.64,334,R_aXmc4vt1LTzVWff,"I consent, begin the study",None,n/a,Other,n/a,College Diploma - Autism and Behaviour Science and Bachelors - Child and Youth Studies,"a)	18-24",Female,White,n/a,Central West,"$20,000 - $29,999",100,94,94,91,86,82,61,45,38,27,25,18,16,11,8,4,4,3,3,2,2,2,2,2,1,1,1,0,,,,,,,100,100,100,100,100,,25,16,2,0,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 14:50,10/16/19 15:25,173.238.118.243,2119,R_3n1rog3XlLSszZy,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"e)	40-49",Female,White,n/a,West,"$80,000 - $89,999",100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,25,25,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:24,10/16/19 15:28,67.69.69.188,195,R_TcKQBEMCal2Ova9,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,West,"$80,000 - $89,999",100,100,100,100,100,75,25,20,20,20,15,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:05,10/16/19 15:30,135.23.213.5,1534,R_WiBjwmB3FNGLemd,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Male,White,n/a,Central East,"$60,000 - $69,999",100,100,100,100,100,100,100,100,75,50,34,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:32,10/16/19 15:34,24.141.178.111,160,R_2uIOjfQzSRNo7SS,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"e)	40-49",Female,Prefer not to answer,n/a,West,prefer not to answer,100,100,100,100,75,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:32,10/16/19 15:35,67.69.69.249,185,R_9nsarIW2wehQsGl,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"b)	25-29",Female,White,n/a,West,"$40,000 - $59,999",80,81,88,82,61,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:32,10/16/19 15:36,99.232.67.237,231,R_3hcnTOyQmt0b1Kb,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"e)	40-49",Female,White,n/a,Central East,"$70,000 - $79,999",100,100,100,100,,,25,25,25,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:42,10/16/19 15:48,99.228.167.241,363,R_3ly0ZQYEnKhLjN1,"I consent, begin the study",None,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,West,"$70,000 - $79,999",100,100,100,100,82,70,51,52,15,0,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:44,10/16/19 15:48,99.251.232.240,251,R_DNODLJ66er8q4Hn,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,Central East,"$80,000 - $89,999",100,100,100,95,90,75,50,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:53,10/16/19 15:55,99.239.25.107,129,R_2AQpMDs20U4PD4Z,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Male,White,n/a,Central East,"$70,000 - $79,999",100,100,100,100,100,100,100,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:55,10/16/19 15:58,24.140.241.57,218,R_3s7hJz2nGXMfQmk,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"b)	25-29",Female,White,n/a,West,"$90,000 - $99,999",100,100,100,100,100,100,70,,,39,21,9,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:58,10/16/19 16:02,135.23.143.55,199,R_bBMvlH3LoLFIzkJ,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"e)	40-49",Female,White,n/a,Central East,"$20,000 - $29,999",100,100,100,100,100,100,100,100,50,25,25,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:57,10/16/19 16:03,67.71.60.253,348,R_24kFjpuutlmO6fS,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,South Asian,n/a,Central East,"$70,000 - $79,999",100,100,100,100,100,80,70,60,30,19,20,20,9,7,5,5,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 15:57,10/16/19 16:03,67.193.112.97,387,R_3fUfLSbeNFZJ95r,"I consent, begin the study",None,n/a,Bachelor's,n/a,,"b)	25-29",Female,White,n/a,East,prefer not to answer,100,100,100,80,60,38,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,64,,33,27,18,10,9,0,,,,
10/16/19 16:01,10/16/19 16:07,99.250.184.39,346,R_pmHCN8gAH3n7gqZ,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,West,"$80,000 - $89,999",100,100,100,100,100,100,100,96,94,93,93,90,89,89,88,88,88,86,85,75,74,79,81,78,75,73,76,74,71,72,72,70,66,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 16:07,10/16/19 16:11,72.143.195.77,262,R_sZqXUSGcA5xsEKd,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,Central East,"$60,000 - $69,999",,83,74,73,67,57,54,51,42,24,20,21,10,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 16:05,10/16/19 16:12,69.60.229.8,391,R_xAzSv7Xq10Yqnsd,"I consent, begin the study",None,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,North,"$70,000 - $79,999",100,25,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,50,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 16:37,10/16/19 16:42,198.91.130.91,309,R_r73Zs4cg2rsaiat,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,West,"$30,000 - $39,999",100,100,100,,77,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 16:35,10/16/19 16:43,65.93.92.191,469,R_2QDGNFevvB5O6l4,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"e)	40-49",Female,White,n/a,Central West,"$70,000 - $79,999",100,100,100,100,100,100,100,75,70,60,60,50,50,50,47,47,44,39,35,32,21,26,17,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 16:46,10/16/19 16:53,174.5.94.174,424,R_xG87AD3609TzS9z,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,Prefer not to answer,n/a,North,"$90,000 - $99,999",100,100,100,100,79,71,,,,39,29,24,29,30,32,29,28,27,27,29,27,24,14,24,22,22,20,24,23,18,21,21,18,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 17:14,10/16/19 17:20,208.96.101.249,354,R_3rOgRBZVFxEXHQL,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,North,"$80,000 - $89,999",100,100,100,100,90,90,70,70,,,,,,30,30,30,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 17:22,10/16/19 17:26,135.23.166.76,241,R_1dmlS9fYUSO0XXc,"I consent, begin the study",None,n/a,Master's,n/a,,"d)	35-39",Female,South Asian,n/a,Central East,"$70,000 - $79,999",100,100,100,100,80,70,60,,40,30,10,0,,,,,,,,,,,,,,,,,,,,,,,100,100,100,80,50,,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 17:35,10/16/19 17:38,206.172.39.51,157,R_sR6mox67HGKrVip,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",,White,n/a,Central West,"$100,000 - $119,999",100,99,100,100,75,56,,33,16,2,2,4,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 17:32,10/16/19 17:40,99.254.114.145,463,R_2pJEVMeynGml3re,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"b)	25-29",Female,White,n/a,Central West,"$40,000 - $59,999",100,100,100,100,100,90,83,71,29,18,17,10,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 17:36,10/16/19 17:40,142.117.71.86,247,R_1mXE4lUV4u3Y5hT,"I consent, begin the study",None,n/a,College Diploma: (please indicate specific Diploma),Autism and Behavioural Sciences ,,"a)	18-24",Female,White,n/a,West,"$30,000 - $39,999",100,100,100,100,100,70,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 17:46,10/16/19 17:54,74.12.17.209,498,R_1eV5jNRZRxh1yie,"I consent, begin the study",None,n/a,Bachelor's,n/a,,"c)	30-34",Female,White,n/a,Central East,"$60,000 - $69,999",100,100,100,100,100,100,100,100,80,70,60,60,50,50,50,40,40,40,30,30,30,30,25,25,24,21,20,17,17,19,22,18,13,1000,100,100,100,100,83,86,92,91,87,83,72,73,90,54,54,58,57,68,,60,59,63,58,65,62,62,40,38,35,40,41,41,40,1000
10/16/19 17:56,10/16/19 18:01,24.55.220.231,314,R_ZqnjFyztWdJeB0d,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"e)	40-49",Female,Latin American,n/a,West,"$70,000 - $79,999",100,100,50,,51,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 18:11,10/16/19 18:17,173.238.0.70,395,R_2fdq8hh3vGm2HCU,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"b)	25-29",Female,White,n/a,West,"$60,000 - $69,999",100,100,100,100,100,100,100,90,91,80,80,80,80,75,70,51,50,50,40,40,40,40,40,30,20,14,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 18:32,10/16/19 18:36,67.193.164.70,236,R_3nwOS16hyP6eK0w,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Male,White,n/a,East,"$80,000 - $89,999",100,100,100,100,100,100,,,40,22,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 18:41,10/16/19 18:45,99.254.15.123,241,R_1oHCY88y8BRDA2m,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,Central West,"$80,000 - $89,999",100,100,100,100,100,100,70,51,40,30,20,10,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 18:42,10/16/19 18:46,99.236.21.184,208,R_2wzuTQV2hBvTswT,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,West,"$60,000 - $69,999",100,100,100,100,100,50,,20,20,15,6,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 18:54,10/16/19 18:57,65.93.26.149,212,R_3EYancx2XTZtrLR,"I consent, begin the study",BCaBA,n/a,Bachelor's,n/a,,"b)	25-29",Female,White,n/a,Central West,"$40,000 - $59,999",100,100,100,100,100,90,75,71,60,40,30,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 18:50,10/16/19 19:07,24.36.135.239,1001,R_sbONBSfUnqPMmMV,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,West,"$60,000 - $69,999",100,100,100,100,100,75,70,60,50,40,30,15,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 19:04,10/16/19 19:09,99.241.180.152,288,R_26eGUEqaZbNZgjQ,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,Central East,"$80,000 - $89,999",100,100,100,100,100,100,100,90,,,,,30,30,30,30,30,30,29,30,30,30,30,30,30,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 19:07,10/16/19 19:10,99.252.165.84,164,R_2Yyr3ZoRgwLkmXU,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"b)	25-29",Female,White,n/a,Central West,"$40,000 - $59,999",100,100,100,100,100,100,90,86,87,70,61,51,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 19:05,10/16/19 19:12,174.140.179.229,433,R_vCVNJGJ0U11H5fj,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"b)	25-29",Female,White,n/a,West,"$40,000 - $59,999",100,100,100,100,70,60,50,50,51,40,30,30,30,30,30,30,31,30,28,26,17,11,8,3,6,11,5,8,8,8,6,7,8,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 19:21,10/16/19 19:23,174.138.218.204,112,R_3OdbilbOUf469tv,"I consent, begin the study",BCaBA,n/a,College Diploma: (please indicate specific Diploma),Autism and Behavioural Science,,"b)	25-29",Female,Southeast Asian,n/a,East,"$20,000 - $29,999",100,,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 19:21,10/16/19 19:25,99.253.63.55,277,R_tMazCvhr74XeYPn,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,South Asian,n/a,Central West,"$40,000 - $59,999",100,100,100,100,60,60,30,30,30,20,20,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 19:13,10/16/19 19:26,198.52.182.200,763,R_1EZMwgp8ggbWgFo,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,Central East,"$70,000 - $79,999",100,100,92,81,58,33,27,11,9,7,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 19:45,10/16/19 19:50,147.194.125.25,284,R_2Si6uvmrOXBGCKt,"I consent, begin the study",None,n/a,Bachelor's,n/a,,"e)	40-49",Female,Prefer not to answer,n/a,Central West,"$70,000 - $79,999",100,100,100,100,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,100,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 20:04,10/16/19 20:14,70.29.39.12,627,R_3fJiv4lDT4QtnD6,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,Central East,"$100,000 - $119,999",100,100,100,100,100,100,100,100,80,80,80,80,80,70,70,70,70,70,70,70,70,70,70,60,60,60,60,60,60,60,60,60,60,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 20:02,10/16/19 20:18,167.100.90.100,944,R_3qgqvVOesFzjjf2,"I consent, begin the study",None,n/a,Master's,n/a,,"b)	25-29",Female,White,n/a,Central West,"$40,000 - $59,999",100,100,100,100,70,60,,,,,45,45,30,30,30,25,25,20,20,20,20,10,11,0,,,,,,,,,,,100,100,100,100,100,100,100,100,80,81,80,80,80,75,75,75,75,75,,,,40,25,26,25,25,24,25,10,10,10,10,10,3000
10/16/19 20:30,10/16/19 20:32,134.41.81.254,95,R_22YvwpmhZ8uKRWm,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,Outside of Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 20:40,10/16/19 20:47,142.118.65.86,426,R_2WGuOxynXdJZXq3,"I consent, begin the study",Other,Communicative Disorders Assistant (CDA),College Diploma: (please indicate specific Diploma),Post Diploma certificate-CDA,,"d)	35-39",Female,White,n/a,West,"$40,000 - $59,999",100,100,100,91,71,58,,22,17,10,11,9,11,6,14,5,3,4,4,4,8,5,6,6,4,5,12,0,,,,,,,100,100,,20,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/19 20:50,10/16/19 20:59,107.179.212.20,547,R_pflmFwyw4RZWGGJ,"I consent, begin the study",Other,Pursuing BCBA Exam scheduled ,Master's,n/a,,"c)	30-34",Female,Other:,French ,Central East,"$70,000 - $79,999",100,100,90,85,80,75,60,50,36,15,0,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2000
10/16/19 21:48,10/16/19 21:55,70.53.104.68,429,R_1Gx02nOwCCBvLbk,"I consent, begin the study",None,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,West,"$40,000 - $59,999",100,100,100,100,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,100,100,100,100,98,100,100,98,98,100,100,100,100,99,96,100,96,97,,100,100,96,97,99,,,,,,,,,,2000
10/16/19 22:43,10/16/19 22:45,199.119.235.207,87,R_1cYeCC53fMOEadb,"I consent, begin the study",BCBA-D,n/a,PhD,n/a,,"e)	40-49",Male,White,n/a,Outside of Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 3:25,10/17/19 3:31,70.30.54.187,338,R_dok1zMYu83GwiZj,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,Central East,"$100,000 - $119,999",100,100,100,100,100,100,100,50,50,39,46,48,45,51,49,50,49,49,49,50,51,47,49,,38,50,,,47,46,,51,22,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 4:21,10/17/19 4:25,70.53.108.3,203,R_bQuaw59OgfAVB97,"I consent, begin the study",Other,RBT,Bachelor's,n/a,,"a)	18-24",Female,White,n/a,West,"$20,000 - $29,999",100,100,100,100,41,27,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 6:22,10/17/19 6:23,142.177.81.47,87,R_2ZU2wwmZ1FubkWe,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,Outside of Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 6:14,10/17/19 6:28,24.36.98.244,820,R_2zXY69aSE2TWlCB,"I consent, begin the study",None,n/a,Bachelor's,n/a,,"b)	25-29",Female,White,n/a,West,"$20,000 - $29,999",100,100,100,100,100,100,100,100,90,80,70,60,50,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 9:07,10/17/19 9:12,204.40.194.130,324,R_3NOiHKEsNixEcRe,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"c)	30-34",Female,White,n/a,West,"$70,000 - $79,999",100,100,100,100,80,80,70,,,,,,25,20,20,20,20,20,15,15,15,15,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 10:48,10/17/19 10:53,68.71.19.20,294,R_UY1lkFd0tnQmwkp,"I consent, begin the study",None,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,West,"$60,000 - $69,999",80,100,100,100,80,70,70,,29,0,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,81,70,50,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/19 14:48,10/17/19 14:53,99.248.81.155,289,R_CfzbMOoNxzi2M93,"I consent, begin the study",BCBA,n/a,Master's,n/a,,"d)	35-39",Female,White,n/a,Central East,"$80,000 - $89,999",100,100,100,100,100,100,80,70,40,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
