Start_Date,End_Date,IP_Address,Duration_seconds,ID,ID2,consent,certification_status,cert_status_other_text,education,education_other_text,age,sex,race_ethnic,Racial_or_Ethnic_background:_-_Other:_-_Text,race_ethnic_other_text,income,0,25,50,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,max_money,accrue_0_hours,accrue_25_hours,accrue_50_hours,accrue_100_hours,accrue_200_hours,accrue_300_hours,accrue_400_hours,accrue_500_hours,accrue_600_hours,accrue_700_hours,accrue_800_hours,accrue_900_hours,accrue_1000_hours,accrue_1100_hours,accrue_1200_hours,accrue_1300_hours,accrue_1400_hours,accrue_1500_hours,accrue_1600_hours,accrue_1700_hours,accrue_1800_hours,accrue_1900_hours,accrue_2000_hours,accrue_2100_hours,accrue_2200_hours,accrue_2300_hours,accrue_2400_hours,accrue_2500_hours,accrue_2600_hours,accrue_2700_hours,accrue_2800_hours,accrue_2900_hours,accrue_3000_hours,max_hours
10/16/2019 16:38,10/23/2019 14:24,45.61.102.81,596732,10/23/2019 14:24,42,"I consent, begin the study",BCBA,,Master's,,"e)	40-49",Prefer not to answer,Prefer not to answer,,Central East,prefer not to answer,100,100,100,98,69,31,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:44,10/16/2019 15:48,99.251.232.240,251,10/16/2019 15:48,7,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,White,,Central East,85000,100,100,100,95,90,75,50,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2019 14:48,10/17/2019 14:53,99.248.81.155,289,10/17/2019 14:53,31,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,White,,Central East,85000,100,100,100,100,100,100,80,70,40,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019 18:36,10/23/2019 18:40,72.143.193.23,247,10/23/2019 18:40,47,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,White,,Central East,85000,100,100,99,99,85,49,36,25,18,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019 20:19,10/23/2019 20:24,99.237.37.235,256,10/23/2019 20:24,49,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,Prefer not to answer,,Central East,85000,100,100,100,100,100,100,50,40,30,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:57,10/16/2019 16:03,67.71.60.253,348,10/16/2019 16:03,10,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,South Asian,,Central East,75000,100,100,100,100,100,80,70,60,30,19,20,20,9,7,5,5,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 19:13,10/16/2019 19:26,198.52.182.200,763,10/16/2019 19:26,26,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,White,,Central East,75000,100,100,92,81,58,33,27,11,9,7,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019 22:40,10/23/2019 22:45,99.232.97.236,312,10/23/2019 22:45,50,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,Prefer not to answer,,Central East,75000,100,100,100,100,65,55,50,30,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:53,10/16/2019 15:55,99.239.25.107,129,10/16/2019 15:55,8,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Male,White,,Central East,75000,100,100,100,100,100,100,100,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019 14:27,10/23/2019 14:29,72.140.46.159,118,10/23/2019 14:29,43,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Male,South Asian,,Central East,75000,100,100,100,100,100,49,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 20:50,10/16/2019 20:59,107.179.212.20,547,10/16/2019 20:59,28,"I consent, begin the study",Other,Pursuing BCBA Exam scheduled ,Master's,,"c)	30-34",Female,Other:,French ,Central East,75000,100,100,90,85,80,75,60,50,36,15,0,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2000
10/16/2019 16:07,10/16/2019 16:11,72.143.195.77,262,10/16/2019 16:11,13,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,White,,Central East,65000,100,83,74,73,67,57,54,51,42,24,20,21,10,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019 16:08,10/23/2019 16:16,209.171.88.223,488,10/23/2019 16:16,45,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,Chinese,,Central East,65000,100,100,100,100,90,85,85,85,85,80,80,75,70,70,70,70,70,65,65,65,60,60,60,58,56,52,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:05,10/16/2019 15:30,135.23.213.5,1534,10/16/2019 15:30,5,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Male,White,,Central East,65000,100,100,100,100,100,100,100,100,75,50,34,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 17:46,10/16/2019 17:54,74.12.17.209,498,10/16/2019 17:54,18,"I consent, begin the study",None,,Bachelor's,,"c)	30-34",Female,White,,Central East,65000,100,100,100,100,100,100,100,100,80,70,60,60,50,50,50,40,40,40,30,30,30,30,25,25,24,21,20,17,17,19,22,18,13,1000,100,100,100,100,83,86,92,91,87,83,72,73,90,54,54,58,57,68,,60,59,63,58,65,62,62,40,38,35,40,41,41,40,1000
10/20/2019 12:29,10/20/2019 12:32,139.57.217.26,189,10/20/2019 12:32,41,"I consent, begin the study",None,,Master's,,"b)	25-29",Female,Other:,Middle Eastern (not Arab),Central East,50000,100,100,100,100,100,90,45,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,70,55,45,30,20,20,15,0,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:58,10/16/2019 16:02,135.23.143.55,199,10/16/2019 16:02,9,"I consent, begin the study",BCBA,,Master's,,"e)	40-49",Female,White,,Central East,25000,100,100,100,100,100,100,100,100,50,25,25,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2019 12:58,10/19/2019 13:03,99.230.37.3,295,10/19/2019 13:03,39,"I consent, begin the study",BCBA,,Master's,,"e)	40-49",Female,White,,Central East,175000,100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,90,90,90,80,80,80,80,80,80,70,70,70,70,70,70,70,70,70,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2019 18:47,10/17/2019 18:51,99.237.14.84,225,10/17/2019 18:51,34,"I consent, begin the study",BCBA,,PhD,,"e)	40-49",Female,White,,Central East,135000,80,100,100,100,100,60,20,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 20:04,10/16/2019 20:14,70.29.39.12,627,10/16/2019 20:14,27,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,White,,Central East,110000,100,100,100,100,100,100,100,100,80,80,80,80,80,70,70,70,70,70,70,70,70,70,70,60,60,60,60,60,60,60,60,60,60,"$1,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2019 10:55,10/26/2019 10:57,99.236.197.231,110,10/26/2019 10:57,52,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Prefer not to answer,White,,Central West,prefer not to answer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 18:41,10/16/2019 18:45,99.254.15.123,241,10/16/2019 18:45,20,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,White,,Central West,85000,100,100,100,100,100,100,70,51,40,30,20,10,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2019 19:18,10/27/2019 19:30,76.68.26.163,731,10/27/2019 19:30,53,"I consent, begin the study",BCBA,,Master's,,"e)	40-49",Female,White,,Central West,85000,100,100,100,100,100,100,100,100,100,75,60,60,50,50,50,45,43,40,10,10,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 16:35,10/16/2019 16:43,65.93.92.191,469,10/16/2019 16:43,15,"I consent, begin the study",BCBA,,Master's,,"e)	40-49",Female,White,,Central West,75000,100,100,100,100,100,100,100,75,70,60,60,50,50,50,47,47,44,39,35,32,21,26,17,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2019 12:07,10/18/2019 12:14,67.70.83.247,412,10/18/2019 12:14,37,"I consent, begin the study",None,,Master's,,"e)	40-49",Female,White,,Central West,75000,100,100,100,100,75,50,50,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,19,100,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 18:54,10/16/2019 18:57,65.93.26.149,212,10/16/2019 18:57,21,"I consent, begin the study",BCaBA,,Bachelor's,,"b)	25-29",Female,White,,Central West,50000,100,100,100,100,100,90,75,71,60,40,30,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:01,10/16/2019 15:07,192.0.213.195,382,10/16/2019 15:07,1,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,White,,Central West,50000,100,100,100,100,100,100,100,100,90,90,90,90,80,80,75,75,75,50,50,50,40,40,40,25,25,25,25,25,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 17:32,10/16/2019 17:40,99.254.114.145,463,10/16/2019 17:40,16,"I consent, begin the study",BCBA,,Master's,,"b)	25-29",Female,White,,Central West,50000,100,100,100,100,100,90,83,71,29,18,17,10,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 19:07,10/16/2019 19:10,99.252.165.84,164,10/16/2019 19:10,23,"I consent, begin the study",BCBA,,Master's,,"b)	25-29",Female,White,,Central West,50000,100,100,100,100,100,100,90,86,87,70,61,51,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 19:21,10/16/2019 19:25,99.253.63.55,277,10/16/2019 19:25,25,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,South Asian,,Central West,50000,100,100,100,100,60,60,30,30,30,20,20,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:20,10/16/2019 15:25,216.154.59.64,334,10/16/2019 15:25,3,"I consent, begin the study",None,,Other,College Diploma - Autism and Behaviour Science and Bachelors - Child and Youth Studies,"a)	18-24",Female,White,,Central West,25000,100,94,94,91,86,82,61,45,38,27,25,18,16,11,8,4,4,3,3,2,2,2,2,2,1,1,1,0,,,,,,,100,100,100,100,100,,25,16,2,0,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:57,10/16/2019 16:03,67.193.112.97,387,10/16/2019 16:03,11,"I consent, begin the study",None,,Bachelor's,,"b)	25-29",Female,White,,East,prefer not to answer,100,100,100,80,60,38,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,64,,33,27,18,10,9,0,,,,
10/17/2019 19:19,10/17/2019 19:28,67.193.115.20,534,10/17/2019 19:28,35,"I consent, begin the study",Other,Working towards BCBA,Bachelor's,,"b)	25-29",Female,White,,East,65000,100,100,100,100,100,90,70,61,49,30,21,21,0,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,82,80,70,60,,,,,,,2000
10/18/2019 8:17,10/18/2019 8:20,174.115.82.155,179,10/18/2019 8:20,36,"I consent, begin the study",None,,Bachelor's,,"e)	40-49",Female,White,,East,35000,100,100,100,100,100,75,60,40,20,0,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,70,,30,10,0,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 16:05,10/16/2019 16:12,69.60.229.8,391,10/16/2019 16:12,14,"I consent, begin the study",None,,Master's,,"d)	35-39",Female,White,,North,75000,100,25,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,50,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:09,10/16/2019 15:14,107.179.196.72,326,10/16/2019 15:14,2,"I consent, begin the study",BCBA,,Master's,,"e)	40-49",Female,White,,North,135000,100,100,100,100,100,100,100,100,95,95,95,95,95,90,90,75,75,70,50,50,50,50,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 22:43,10/16/2019 22:45,199.119.235.207,87,10/16/2019 22:45,29,"I consent, begin the study",BCBA-D,,PhD,,"e)	40-49",Male,White,,Outside of Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2019 6:22,10/17/2019 6:23,142.177.81.47,87,10/17/2019 6:23,31,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,White,,Outside of Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:24,10/16/2019 15:28,67.69.69.188,195,10/16/2019 15:28,4,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,White,,West,85000,100,100,100,100,100,75,25,20,20,20,15,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 16:01,10/16/2019 16:07,99.250.184.39,346,10/16/2019 16:07,12,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,White,,West,85000,100,100,100,100,100,100,100,96,94,93,93,90,89,89,88,88,88,86,85,75,74,79,81,78,75,73,76,74,71,72,72,70,66,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2019 18:03,10/17/2019 18:11,24.36.15.169,443,10/17/2019 18:11,33,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,White,,West,85000,100,100,100,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2019 7:50,10/20/2019 7:57,99.226.184.89,463,10/20/2019 7:57,40,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,White,,West,85000,100,100,100,100,80,80,60,50,40,30,30,20,20,10,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:42,10/16/2019 15:48,99.228.167.241,363,10/16/2019 15:48,6,"I consent, begin the study",None,,Master's,,"c)	30-34",Female,White,,West,75000,100,100,100,100,82,70,51,52,15,0,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 18:11,10/16/2019 18:17,173.238.0.70,395,10/16/2019 18:17,19,"I consent, begin the study",BCBA,,Master's,,"b)	25-29",Female,White,,West,65000,100,100,100,100,100,100,100,90,91,80,80,80,80,75,70,51,50,50,40,40,40,40,40,30,20,14,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 18:50,10/16/2019 19:07,24.36.135.239,1001,10/16/2019 19:07,22,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,White,,West,65000,100,100,100,100,100,75,70,60,50,40,30,15,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019 19:32,10/23/2019 19:35,99.253.133.125,189,10/23/2019 19:35,48,"I consent, begin the study",BCBA,,Master's,,"e)	40-49",Female,White,,West,65000,100,100,100,100,100,78,64,61,42,38,31,26,10,7,6,6,4,2,4,4,5,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 19:05,10/16/2019 19:12,174.140.179.229,433,10/16/2019 19:12,24,"I consent, begin the study",BCBA,,Master's,,"b)	25-29",Female,White,,West,50000,100,100,100,100,70,60,50,50,51,40,30,30,30,30,30,30,31,30,28,26,17,11,8,3,6,11,5,8,8,8,6,7,8,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/2019 16:50,10/18/2019 16:57,24.150.61.47,392,10/18/2019 16:57,38,"I consent, begin the study",BCBA,,Master's,,"b)	25-29",Female,White,,West,50000,100,100,100,100,100,67,56,37,16,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2019 5:53,10/24/2019 6:06,65.110.221.138,786,10/24/2019 6:06,51,"I consent, begin the study",None,,Master's,,"d)	35-39",Female,White,,West,50000,100,100,100,100,100,80,80,80,81,80,85,80,70,70,70,70,80,75,100,70,70,70,70,71,70,75,70,70,70,70,70,70,70,1000,100,100,100,100,70,70,70,81,80,80,80,80,80,75,75,74,75,76,,75,75,75,75,75,75,75,75,75,75,75,70,60,,200
10/16/2019 17:36,10/16/2019 17:40,142.117.71.86,247,10/16/2019 17:40,17,"I consent, begin the study",None,,College Diploma: (Autism and Behavioural Sciences ),,"a)	18-24",Female,White,,West,35000,100,100,100,100,100,70,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019 17:41,10/23/2019 17:47,184.148.82.101,388,10/23/2019 17:47,46,"I consent, begin the study",Other,"student under supervision, working toward a BCBA",Bachelor's,,"a)	18-24",Female,White,,West,35000,100,100,100,100,80,80,70,60,60,50,40,30,0,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,80,80,60,60,50,,30,30,10,0,,,,,,,,,,,
10/23/2019 14:54,10/23/2019 14:56,209.171.88.240,143,10/23/2019 14:56,44,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Male,White,,West,25000,100,100,100,92,79,61,60,39,26,21,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2019 6:14,10/17/2019 6:28,24.36.98.244,820,10/17/2019 6:28,30,"I consent, begin the study",None,,Bachelor's,,"b)	25-29",Female,White,,West,25000,100,100,100,100,100,100,100,100,90,80,70,60,50,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2019 4:21,10/17/2019 4:25,70.53.108.3,203,10/17/2019 4:25,29,"I consent, begin the study",Other,RBT,Bachelor's,,"a)	18-24",Female,White,,West,25000,100,100,100,100,41,27,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2019 14:59,10/17/2019 15:09,69.158.246.205,564,10/17/2019 15:09,32,"I consent, begin the study",BCBA-D,,PhD,,"e)	40-49",Female,White,,West,175000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,80,50,40,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
